method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.0737645626068115
PI-NPZ,baseline,Computational Time (s),1.0480201244354248
PI-NPZ,baseline,Computational Time (s),1.5915489196777344
PI-NPZ,baseline,Computational Time (s),1.055387258529663
PI-NPZ,baseline,Computational Time (s),1.3060417175292969
PI-NPZ,baseline,Computational Time (s),1.245389699935913
PI-NPZ,baseline,Computational Time (s),1.3326504230499268
PI-NPZ,baseline,Computational Time (s),1.154982328414917
PI-NPZ,baseline,Computational Time (s),1.1160211563110352
PI-NPZ,baseline,Computational Time (s),1.2470698356628418
PI-NPZ,baseline,Computational Time (s),1.3261048793792725
PI-NPZ,baseline,Computational Time (s),1.7272441387176514
PI-NPZ,baseline,Computational Time (s),1.204089879989624
PI-NPZ,baseline,Computational Time (s),1.2724812030792236
PI-NPZ,baseline,Computational Time (s),1.2445180416107178
PI-NPZ,baseline,Computational Time (s),1.1325833797454834
PI-NPZ,baseline,Computational Time (s),1.1929817199707031
PI-NPZ,baseline,Computational Time (s),1.068589448928833
PI-NPZ,baseline,Computational Time (s),1.4667069911956787
PI-NPZ,baseline,Computational Time (s),1.121053695678711
PI-NPZ,baseline,Computational Time (s),1.2330877780914307
PI-NPZ,baseline,Computational Time (s),1.1053779125213623
PI-NPZ,baseline,Computational Time (s),1.0196983814239502
PI-NPZ,baseline,Computational Time (s),1.097855806350708
PI-NPZ,baseline,Computational Time (s),1.4987845420837402
PI-NPZ,baseline,Computational Time (s),1.1934216022491455
PI-NPZ,baseline,Computational Time (s),1.1017343997955322
PI-NPZ,baseline,Computational Time (s),1.0832276344299316
PI-NPZ,baseline,Computational Time (s),1.068507194519043
PI-NPZ,baseline,Computational Time (s),1.2679486274719238
PI-NPZ,baseline,Computational Time (s),1.0826361179351807
PI-NPZ,baseline,Computational Time (s),1.1013290882110596
PI-NPZ,baseline,Computational Time (s),1.1130502223968506
PI-NPZ,baseline,Computational Time (s),1.2430057525634766
PI-NPZ,baseline,Computational Time (s),1.0772895812988281
PI-NPZ,baseline,Computational Time (s),1.4181239604949951
PI-NPZ,baseline,Computational Time (s),1.144639253616333
PI-NPZ,baseline,Computational Time (s),1.1910200119018555
PI-NPZ,baseline,Computational Time (s),1.0253989696502686
PI-NPZ,baseline,Computational Time (s),1.0058097839355469
PI-NPZ,baseline,Computational Time (s),1.6032264232635498
PI-NPZ,baseline,Computational Time (s),1.59364914894104
PI-NPZ,baseline,Computational Time (s),1.4187309741973877
PI-NPZ,baseline,Computational Time (s),1.1053004264831543
PI-NPZ,baseline,Computational Time (s),1.1589150428771973
PI-NPZ,baseline,Computational Time (s),1.1116361618041992
PI-NPZ,baseline,Computational Time (s),1.5280489921569824
PI-NPZ,baseline,Computational Time (s),1.3356215953826904
PI-NPZ,baseline,Computational Time (s),1.4567904472351074
PI-NPZ,baseline,Computational Time (s),0.9867215156555176
PI-NPZ,baseline,Computational Time (s),1.5005662441253662
PI-NPZ,baseline,Computational Time (s),0.9892175197601318
PI-NPZ,baseline,Computational Time (s),1.2484478950500488
PI-NPZ,baseline,Computational Time (s),1.0119361877441406
PI-NPZ,baseline,Computational Time (s),1.2659449577331543
PI-NPZ,baseline,Computational Time (s),1.0419197082519531
PI-NPZ,baseline,Computational Time (s),1.0137944221496582
PI-NPZ,baseline,Computational Time (s),1.0035371780395508
PI-NPZ,baseline,Computational Time (s),1.4070634841918945
PI-NPZ,baseline,Computational Time (s),1.1828842163085938
PI-NPZ,baseline,Computational Time (s),1.0754785537719727
PI-NPZ,baseline,Computational Time (s),1.1147122383117676
PI-NPZ,baseline,Computational Time (s),1.0061249732971191
PI-NPZ,baseline,Computational Time (s),1.083634614944458
PI-NPZ,baseline,Computational Time (s),1.0297727584838867
PI-NPZ,baseline,Computational Time (s),1.153947114944458
PI-NPZ,baseline,Computational Time (s),1.0350024700164795
